name,type,neighborhood
Seu de la Seccio 10 de les Patrulles de Control (Guerra Civil),Patrimonio cultural,Sant Andreu
La Plaça Santa Madrona,Patrimonio cultural,el Poble Sec
Foment Republica de Sants. Antic Ateneu Batllori,Patrimonio cultural,Sants
Rambla de Fabra i Puig,Espacios urbanos,Sant Andreu
Menjadors populars del carrer Gran Sant Andreu (Guerra Civil),Patrimonio cultural,Sant Andreu
Carrer Puerto Principe,Patrimonio cultural,el Congres i els Indians
Carrer Pons i Gallarza,Espacios urbanos,Sant Andreu
Carrer Pinar del Rio,Espacios urbanos,el Congres i els Indians
Carrer Matanzas,Espacios urbanos,el Congres i els Indians
Carrer Manigua,Espacios urbanos,el Congres i els Indians
Carrer Grau,Espacios urbanos,Sant Andreu
Carrer Gran de Sant Andreu,Espacios urbanos,Sant Andreu
Carrer de les Monges,Espacios urbanos,Sant Andreu
Carrer Coroleu,Espacios urbanos,Sant Andreu
Carrer Cienfuegos,Espacios urbanos,el Congres i els Indians
Carrer Campo Florido,Espacios urbanos,el Congres i els Indians
Antiga Biblioteca Infantil del GATCPAC,Patrimonio cultural,Sant Andreu
Avenç Obrer Catala de Sant Andreu,Patrimonio cultural,Sant Andreu
Vivendes del Congres Eucaristic,Espacios urbanos,el Congres i els Indians
Refugi Antiaeri de la Sagrera,Espacios urbanos,la Sagrera
'La Masia' del Barça,Patrimonio cultural,la Maternitat i Sant Ramon
L'Espai de la Torre Melina i el seu Jardi Romantic,Espacios urbanos,la Maternitat i Sant Ramon
La Previsio Obrera,Patrimonio cultural,Sant Andreu
L'area Olimpica de la Diagonal,Espacios urbanos,la Maternitat i Sant Ramon
L'Antic Institut Frenopatic,Espacios urbanos,la Maternitat i Sant Ramon
La Plaça dels Indians,Espacios urbanos,el Congres i els Indians
La Vil·la Helius (Casa Grane),Patrimonio cultural,Pedralbes
La Plaça del Rom Cremat,Espacios urbanos,el Congres i els Indians
La Plaça del Comerç,Espacios urbanos,Sant Andreu
La Plaça de les Havaneres,Espacios urbanos,el Congres i els Indians
Pilar d'Aigua de Sant Andreu,Patrimonio cultural,Sant Andreu
Pilar dAigua de la Sagrera,Patrimonio cultural,la Sagrera
Torre de Santa Caterina,Patrimonio cultural,Pedralbes
La Torre Blanca,Patrimonio cultural,Pedralbes
La Porta Sud de la Finca Guell,Patrimonio cultural,la Maternitat i Sant Ramon
