name,type,neighborhood
Consorci del Parc Natural de la Serra de Collserola,Espacios naturales,Vallvidrera
Museu del Modernisme de Barcelona,Museos,la Dreta de Eixample
Restaurant Dos Torres,Patrimonio cultural,les Tres Torres
Roca Barcelona Gallery,Espacios urbanos,les Corts
Hotel W Barcelona - HB-004411,Ocio y tiempo libre,la Barceloneta
Jardins de Portola,Parques y jardines,el Putxet i el Farro
Espai Jove La Fontana,Barcelona WiFi,la Vila de Gracia
Centre Penitenciari Obert 2  - Preso de Dones de la Trinitat,Espacios urbanos,la Trinitat Vella
Teleferic de Barcelona,Telefericos,la Barceloneta
Edifici Gas Natural,Espacios urbanos,la Barceloneta
Parc del Centre del Poblenou,Espacios naturales,Provençals del Poblenou
Centre Civic Can Castello,Ocio y tiempo libre,Sant Gervasi - Galvany
Fabra i Coats - Fabrica de Creacio,Patrimonio cultural,Sant Andreu
Parc de la Primavera,Ocio y tiempo libre,el Poble Sec
Federacio Eix Comercial Sants-Les Corts,Para ir a comprar,Sants
Jardins de Mossen Costa i Llobera,Parques y jardines,el Poble Sec
Centre Civic Casa Orlandai,Barcelona WiFi,Sarria
Sala El Molino,Teatros,el Poble Sec
Fundacio Suñol,Museos,la Dreta de Eixample
Centre de Cultura Popular La Violeta de Gracia,Ocio y tiempo libre,la Vila de Gracia
Edifici La Rotonda,Patrimonio cultural,Sant Gervasi - la Bonanova
Teatro de los Sentidos,Centros y espacios sociales y culturales,la Marina de Port
Casal Civic Barcelona - Magoria,Centros y espacios sociales y culturales,la Bordeta
Casa Bonaventura Ferrer,Patrimonio cultural,la Vila de Gracia
Viaducte de Bellesguard,Patrimonio cultural,Sant Gervasi - la Bonanova
Federacio d'Associacions de Comerç i Entitats del Raval,Para ir a comprar,el Raval
Centre Municipal de Cultura Popular de Sant Andreu,Ocio y tiempo libre,Sant Andreu
Casal de Barri Can Portabella,Espacios urbanos,Sant Andreu
Biblioteca Jaume Fuster,Espacios de estudio e investigacion,Vallcarca i els Penitents
Cooperativa Impulsem,Patrimonio cultural,el Raval
Edifici de la Fabrica Moritz - Espai Gastronomic i Cultural,Ocio y tiempo libre,Sant Antoni
El Parc del Forum,Espacios naturales,el Besos i el Maresme
Hospital  Sociosanitari Mutuam Guell,Patrimonio cultural,la Salut
Finca Sansalvador,Patrimonio cultural,el Coll
Edifici Patronat Ribas,Patrimonio cultural,Sant Genis dels Agudells
Moll de la Fusta,Ocio y tiempo libre,el Barri Gotic
Castell dels Tres Dragons,Patrimonio cultural,Sant Pere
Alberg In-Out - AJ000427,Ocio y tiempo libre,Vallvidrera
Hotel Casa Fuster - HB-004219,Patrimonio cultural,la Vila de Gracia
Jardins dels Drets Humans,Parques y jardines,la Marina de Port
El Parc del Forum,Espacios urbanos,el Besos i el Maresme
Santuari de Santa Eulalia de Vilapicina,Patrimonio cultural,el Turo de la Peira
Barcelona - Casa Vidua Marfa,Patrimonio cultural,la Dreta de Eixample
Parc de Recerca Biomedica de Barcelona,Universidad de Verano,la Barceloneta
Hotel Melia Barcelona Sky - HB-004358,Ocio y tiempo libre,el Poblenou
Torre de les Aigues del Besos,Arquitectura,Diagonal Mar i el Front Maritim del Poblenou
Centre de Reunions i Convencions UAB Casa Convalescencia,Patrimonio cultural,el Guinardo
Jardins de Joan Brossa,Parques y jardines,el Poble Sec
Fundacio Barcelona Media - Centre d'Innovacio,Universidad de Verano,el Parc i la Llacuna del Poblenou
Oratori de Sant Felip Neri *Gracia,Patrimonio cultural,la Vila de Gracia
Centre Civic Vallvidrera Vazquez Montalban,Espacios urbanos,Vallvidrera
Biblioteca Collserola-Josep Miracle,General,Vallvidrera
Fundacio Privada Centre de Produccio Artistica i Cultural Palo Alto,Fundaciones culturales y cientificas,Diagonal Mar i el Front Maritim del Poblenou
Antic Dispensari Antituberculos,Patrimonio cultural,el Raval
Jardins Creu de Pedralbes,Parques y jardines,Pedralbes
Biblioteca Clara,Cultura y arte,les Tres Torres
Jardins Laribal,Parques y jardines,el Poble Sec
Jardins del Teatre Grec,Parques y jardines,el Poble Sec
Jardins Mestre Balcells,Parques y jardines,la Vila de Gracia
Jardinets de Salvador Espriu,Espacios urbanos,la Vila de Gracia
Centre Cultural La Farinera del Clot,Barcelona WiFi,el Clot
Centre d'Educacio Ambiental La Fabrica del Sol,Patrimonio cultural,la Barceloneta
Jardins de Massana,Parques y jardines,el Congres i els Indians
Parc de Diagonal Mar,Parques y jardines,Diagonal Mar i el Front Maritim del Poblenou
Centre Civic Tomasa Cuevas - Les Corts,Espacios urbanos,les Corts
Monument a Josep Tarradellas,Espacios urbanos,la Bordeta
Parc de les Cascades,Parques y jardines,la Barceloneta
Fundacio Parc Cientific de Barcelona,Consorcios otros organismos,la Maternitat i Sant Ramon
Hort Urba Masia Can Mestres,Espacios urbanos,la Marina de Port
Parc Carmel,Espacios urbanos,el Carmel
Plaça del Rei,Espacios urbanos,el Barri Gotic
La plaça de Comas,Espacios urbanos,les Corts
Torre d'Ignacio Portabella,Patrimonio cultural,Sant Gervasi - la Bonanova
La plaça de Sant Gaieta,Espacios urbanos,Sarria
Masia la Petita Maria,Patrimonio cultural,Sants
Facultat de Ciencies de la Salut Blanquerna - URL,Universidad Ramon Llull,el Baix Guinardo
Farmacia Guinart Gomez de Arteche,Patrimonio cultural,Sant Andreu
Bar musical La Torre Rosa,Bares y pubs musicales,el Congres i els Indians
Associacio de Comerciants del Carrer Gran de Gracia,Para ir a comprar,la Vila de Gracia
Ateneu Popular de Sants,Centros y espacios sociales y culturales,Sants
Edifici La Maternitat,Patrimonio cultural,la Maternitat i Sant Ramon
El Rec Comtal,Patrimonio cultural,Vallbona
Refugi Antiaeri de La Lira,Espacios urbanos,Sant Andreu
Plaça de la Virreina,Espacios urbanos,la Vila de Gracia
Plaça de la Revolucio,Espacios urbanos,la Vila de Gracia
Plaça del Sol,Espacios urbanos,la Vila de Gracia
Forn Sarret,Patrimonio cultural,la Dreta de Eixample
La Muralla Romana,Patrimonio cultural,el Barri Gotic
El nucli de Santa Eulalia de Vilapicina,Espacios urbanos,el Turo de la Peira
La plaça del Diamant i el refugi antiaeri,Espacios urbanos,la Vila de Gracia
Sants i Hostafrancs,Espacios urbanos,Hostafrancs
Santa Creu d'Olorda,Ocio y tiempo libre,Vallvidrera
Institut Municipal Fundacio Mies van der Rohe,Patrimonio cultural,el Poble Sec
Casal d'Entitats Mas Guinardo,Ocio y tiempo libre,el Guinardo
TAMAIA Viure Sense Violencia,Espacios urbanos,el Barri Gotic
Fundacio Privada Vila Casas,Museos,el Parc i la Llacuna del Poblenou
Centre Civic  Vil·la Urania,Barcelona WiFi,el Putxet i el Farro
Centre Civic Vil·la Florida,Barcelona WiFi,Sant Gervasi - la Bonanova
Platja de Llevant,Espacios naturales,Diagonal Mar i el Front Maritim del Poblenou
Escullera del Port de Barcelona,Espacios urbanos,la Marina del Prat Vermell
Centre de Convencions Internacional de Barcelona,Para hacer negocios,Diagonal Mar i el Front Maritim del Poblenou
Jardins de Vil·la Cecilia,Barcelona WiFi,Sarria
Parc de la Barceloneta,Espacios naturales,la Barceloneta
Religioses de la Mare de Deu de la Merce,Patrimonio cultural,Sant Gervasi - la Bonanova
Parc del Poblenou,Espacios naturales,el Poblenou
Centre Comercial El Centre de la Vila,Para ir a comprar,la Vila Olimpica del Poblenou
Casa Batllo,Patrimonio cultural,la Dreta de Eixample
Casa dels Ossos,Patrimonio cultural,l'Antiga Esquerra de l'Eixample
Casa - Fabrica Erasme de Gonima,Patrimonio cultural,el Raval
Casa Vilaro,Patrimonio cultural,la Salut
Jardins del Palau Robert,Parques y jardines,la Dreta de Eixample
Torre del Fang,Patrimonio cultural,la Sagrera
La plaça de les Glories Catalanes,Espacios urbanos,el Parc i la Llacuna del Poblenou
Premsa de Vi de Can Xandri,Patrimonio cultural,la Vila de Gracia
Base Nautica Municipal de la Mar Bella,Windsurfing TDV (funboard),el Poblenou
Centre Comercial Maremagnum,Para ir a comprar,el Barri Gotic
Font Publica,Patrimonio cultural,la Vila de Gracia
Font Hercules,Espacios urbanos,el Camp d'en Grassot i Gracia Nova
Parc de la Font Florida,Parques y jardines,la Font de la Guatlla
Jardins de les Tres Xemeneies,Parques y jardines,el Poble Sec
Parc del Mirador del Poble Sec,Parques y jardines,el Poble Sec
Centre Civic Can Baste,Barcelona WiFi,el Turo de la Peira
Portal Casa Miralles,Patrimonio cultural,Sarria
Jardins del  Baix Guinardo,Ocio y tiempo libre,el Baix Guinardo
Palau Reial de Pedralbes,Arquitectura,Pedralbes
Jardins de Can Sentmenat,Parques y jardines,Sarria
Universitat de Barcelona,Patrimonio cultural,l'Antiga Esquerra de l'Eixample
Far del Port - Torre del Rellotge,Faros,la Barceloneta
Fundacio Catalunya  La Pedrera,Patrimonio cultural,la Dreta de Eixample
Casa de les Altures,Patrimonio cultural,el Baix Guinardo
Casa Garriga Nogues,Museos,la Dreta de Eixample
Associacio Sarria Eix Comercial,Para ir a comprar,Sarria
Masia Can Fargas,Patrimonio cultural,la Font d'en Fargues
Universitat Oberta de Catalunya,Universidad de Verano,Sant Gervasi - la Bonanova
Restaurant Can Cortada,Patrimonio cultural,Horta
Jardins de la Tamarita,Parques y jardines,Sant Gervasi - la Bonanova
Facultat de Comunicacio i Relacions Internacionals Blanquerna - URL,Espacios de estudio e investigacion,el Raval
Associacio Cultural El Raval El Lokal,Patrimonio cultural,el Raval
Hotel d'Entitats de Can Guardiola,Patrimonio cultural,Sant Andreu
Els Edificis Trade,Espacios urbanos,les Corts
Centre Comercial L'Illa Diagonal,Para ir a comprar,les Corts
Centre Comercial Glories,Para ir a comprar,el Parc i la Llacuna del Poblenou
Associacio d'Empresaris i Professionals de la Rambla Catalunya,Para ir a comprar,la Dreta de Eixample
Club Esportiu Mediterrani *Instal·lacio Josep Valles,Tenis mesa (pimpon),Sants - Badal
Parc de la Trinitat,Espacios urbanos,Sant Andreu
Casa Lamadrid,Patrimonio cultural,la Dreta de Eixample
Palau de Mar,Patrimonio cultural,la Barceloneta
Casa Faiol - Casa de la Papallona,Patrimonio cultural,la Nova Esquerra de l'Eixample
Facultat de Psicologia i Ciencies de l'Educacio i de l'Esport Blanquerna - URL,Universidad Ramon Llull,Sant Gervasi - la Bonanova
Casa Lleo Morera,Patrimonio cultural,la Dreta de Eixample
Elisava Escola Universitaria de Disseny i Enginyeria de Barcelona,Espacios de estudio e investigacion,el Barri Gotic
Museu Palmero Arte,Museos,Sant Genis dels Agudells
IL3 Institut de Formacio Continua - Universitat de Barcelona,Espacios de estudio e investigacion,el Parc i la Llacuna del Poblenou
Casa Llopis Bofill,Patrimonio cultural,la Dreta de Eixample
Ateneu  Sant Andreu,Patrimonio cultural,Sant Andreu
Centre Municipal de Vela,Para hacer deporte,la Vila Olimpica del Poblenou
Estacio de Rodalies Sant Andreu Comtal de RENFE,Patrimonio cultural,Sant Andreu
Pavello de la Republica,Patrimonio cultural,la Vall d'Hebron
Escultura Mistos,Patrimonio cultural,la Vall d'Hebron
Institut Vila de Gracia,Educacion secundaria obligatoria (ESO),la Vila de Gracia
Port Olimpic de Barcelona,Ocio y tiempo libre,la Vila Olimpica del Poblenou
Universitat Politecnica de Catalunya,Patrimonio cultural,Pedralbes
Museu de Carruatges del Foment,Museos,la Vall d'Hebron
Residencia Assistida per a Gent Gran Llars Mundet,Espacios urbanos,Montbau
Centre Educatiu Vedruna Gracia Barcelona,Bachillerato ciencias y tecnologia - Humanidades y ciencias sociales,la Vila de Gracia
Centre Educatiu Santa Teresa - Ganduxer,Espacios de estudio e investigacion,les Tres Torres
Escola Mossen Jacint Verdaguer,Patrimonio cultural,el Poble Sec
Escola Lluis Vives,Patrimonio cultural,Sants - Badal
Escola la Farigola de Vallcarca,Patrimonio cultural,Vallcarca i els Penitents
Centre Educatiu Jesus i Maria *Passeig Sant Gervasi,Patrimonio cultural,Sant Gervasi - la Bonanova
Escola Josep Maria Jujol,Patrimonio cultural,la Vila de Gracia
Servei d'Esports de la Universitat de Barcelona,Natacion,la Maternitat i Sant Ramon
Club Tennis Barcino,Clubs deportivos,el Putxet i el Farro
Camp Municipal Futbol Narcis Sala,Barcelona WiFi,Sant Andreu
Centre Civic Casa del Rellotge,Ocio y tiempo libre,la Marina de Port
Platja del Bogatell,Espacios naturales,el Poblenou
Futbol Club Barcelona,Museos,la Maternitat i Sant Ramon
Jardins de Joan Maragall - Palauet Albeniz,Parques y jardines,el Poble Sec
Federacio de Comerciants Barna Centre,Para ir a comprar,el Barri Gotic
Jardins del Palau de les Heures,Parques y jardines,Montbau
Centre Civic El Coll - La Bruguera,Barcelona WiFi,el Coll
Jardins Mossen Cinto Verdaguer,Parques y jardines,el Poble Sec
Torre Montjuic Calatrava,Patrimonio cultural,el Poble Sec
Bar Marsella,Patrimonio cultural,el Raval
Parc Metropolita Collserola,Parques y jardines,Vallvidrera
Esglesia del Reial Santuari de Sant Josep de la Muntanya,Patrimonio cultural,la Salut
Centre Civic Can Felipa - Poblenou,Patrimonio cultural,el Poblenou
Associacio Xarxa de Consum Solidari,Para ir a comprar,Sant Pere
Escultura Pi i Margall-La Republica,Patrimonio cultural,la Guineueta
Escultura David i Goliat Homenatge a les Brigades Internacionals,Patrimonio cultural,el Carmel
Casa Planells,Patrimonio cultural,la Sagrada Familia
Associacio Nou Barris Centre Comerç,Para ir a comprar,Verdun
Associacio de Comerciants i Professionals Barnavasi,Para ir a comprar,el Putxet i el Farro
Castell de Torre Baro,Castillos,Torre Baro
Platja de la Nova Mar Bella,Espacios naturales,Diagonal Mar i el Front Maritim del Poblenou
Platja de la Nova Icaria,Espacios naturales,la Vila Olimpica del Poblenou
Platja de Sant Sebastia,Barcelona WiFi,la Barceloneta
Platja de la Barceloneta,Barcelona WiFi,la Barceloneta
Consorci Port 2000,Espacios urbanos,el Barri Gotic
Parc de Sant Marti,Parques y jardines,Sant Marti de Provençals
Parc de Can Sabate,Ocio y tiempo libre,la Marina de Port
Casa Marti - Els Quatre Gats,Patrimonio cultural,el Barri Gotic
Club Natacio Sant Andreu,Clubs deportivos,Sant Andreu
Centre Estudis Ignasi Iglesias,Sociologia,Sant Andreu
Institut Nacional d'Educacio Fisica de Catalunya *Barcelona,Generalitat de Catalunya,el Poble Sec
Parc de la Creueta del Coll,Parques y jardines,el Coll
Escola d'Enginyeria de Barcelona Est - UPC,Espacios de estudio e investigacion,el Besos i el Maresme
Palau Montaner,Palacios,la Dreta de Eixample
Associacio d'Amics del Passeig de Gracia,Para ir a comprar,la Dreta de Eixample
Centre Civic Can Deu,Patrimonio cultural,les Corts
Parc del Clot,Ocio y tiempo libre,el Clot
Parc de la Pegaso,Barcelona WiFi,la Sagrera
Restaurant Can Travi Nou,Del estado español,la Vall d'Hebron
Consell Municipal del Districte de Sant Andreu,Patrimonio cultural,Sant Andreu
Consell Municipal del Districte de Nou Barris,Patrimonio cultural,la Guineueta
Consell Municipal del Districte de Sarria-Sant Gervasi,Espacios urbanos,Sarria
Reial Club Nautic de Barcelona,Para hacer deporte,el Barri Gotic
Parc de l'Espanya Industrial,Barcelona WiFi,Sants
Consell Municipal del Districte de Sants-Montjuic,Patrimonio cultural,Hostafrancs
Torre Jussana - Centre de Serveis a les Associacions,Barcelona WiFi,la Clota
Col·legi de Censors Jurats de Comptes de Catalunya,Patrimonio cultural,Pedralbes
Fabrica de Creacio Ateneu Popular 9 Barris,Barcelona WiFi,la Trinitat Nova
Jardins de les Infantes,Parques y jardines,les Corts
Casa Marsans - Alberg Mare de Deu de Montserrat - AJ000084,Patrimonio cultural,Vallcarca i els Penitents
Escultura Colles Sant Medir,Patrimonio cultural,la Vila de Gracia
Parc de Joan Miro,Parques y jardines,la Nova Esquerra de l'Eixample
Parc del Turo de la Peira,Parques y jardines,el Turo de la Peira
Parc de la Guineueta,Parques y jardines,la Guineueta
Parc de les Aigues,Espacios urbanos,el Baix Guinardo
Parc del Guinardo,Parques y jardines,el Guinardo
Turo Park - Parc del Poeta Eduard Marquina,Espacios naturales,Sant Gervasi - Galvany
Parc de Monterols,Parques y jardines,Sant Gervasi - Galvany
Parc Turo del Putget,Parques y jardines,el Putxet i el Farro
Parc de la Font del Raco,Parques y jardines,Sant Gervasi - la Bonanova
Parc del Castell de l'Oreneta,Parques y jardines,Sarria
Jardins de Vil·la Amelia,Parques y jardines,Sarria
Jardins d'Aclimatacio de Montjuic,Parques y jardines,el Poble Sec
Obelisc del Cinc d'Oros,Espacios urbanos,la Dreta de Eixample
Escultura Fray Pedro Ponce de Leon,Espacios urbanos,el Camp d'en Grassot i Gracia Nova
Filmoteca de Catalunya,Ocio y tiempo libre,el Raval
Escultura Josep Anselm Clave,Espacios urbanos,el Camp d'en Grassot i Gracia Nova
Institut del Teatre,Institutos otros organismos oficiales,el Poble Sec
Casal Catolic de Sant Andreu - antic Casino El Progres,Patrimonio cultural,Sant Andreu
Velodrom Municipal d'Horta Miquel Poblet,Trialsin,Horta
Parc de Cervantes,Parques y jardines,Pedralbes
Escola Superior d'Administracio i Direccio d'Empreses - URL,Espacios de estudio e investigacion,Pedralbes
Circulo Ecuestre,Tiempo libre,Sant Gervasi - Galvany
Centre Esportiu Municipal Can Caralleu,Barcelona WiFi,Sarria
Jardins del Palau de Pedralbes,Parques y jardines,Pedralbes
Associacio de Comerciants i Veins de Creu Coberta,Para ir a comprar,Hostafrancs
Monestir de Santa Maria de Valldonzella,Patrimonio cultural,Sant Gervasi - la Bonanova
Mercat del Poblenou - Unio,Para ir a comprar,el Poblenou
Mercat del Clot,Para ir a comprar,el Clot
Mercat de Sant Andreu,Para ir a comprar,Sant Andreu
Mercat de La Guineueta,Para ir a comprar,la Guineueta
Mercat d'Horta,Para ir a comprar,Horta
Mercat de la Llibertat,Para ir a comprar,la Vila de Gracia
Esglesia de Nostra Senyora de Pompeia,Patrimonio cultural,la Vila de Gracia
Parroquia de Santa Maria de Vallvidrera,Patrimonio cultural,Vallvidrera
Quarter Bruc,Patrimonio cultural,Pedralbes
Cementiri Sant Genis,Patrimonio cultural,Sant Genis dels Agudells
Conservatori Municipal de Musica de Barcelona,Musica,la Dreta de Eixample
Escola Massana Centre Municipal d'Art i Disseny,Espacios de estudio e investigacion,el Raval
Cementiri d'Horta,Espacios urbanos,Horta
Cementiri Sant Andreu,Espacios urbanos,Porta
Cementiri Poblenou,Patrimonio cultural,el Poblenou
Cementiri Sant Gervasi,Espacios urbanos,Sant Gervasi - la Bonanova
Cementiri Sarria,Espacios urbanos,les Tres Torres
Cementiri Les Corts,Espacios urbanos,la Maternitat i Sant Ramon
Cementiri Montjuic,Espacios urbanos,el Poble Sec
Mercat de l'Abaceria Central,Para ir a comprar,el Camp d'en Grassot i Gracia Nova
Mercat de Sarria,Barcelona WiFi,Sarria
Mercat de Galvany,Para ir a comprar,Sant Gervasi - Galvany
Mercat de Les Corts,Para ir a comprar,les Corts
Mercat de Sants,Para ir a comprar,Sants
Mercat d'Hostafrancs,Para ir a comprar,Hostafrancs
Mercat de Sant Antoni,Para ir a comprar,Sant Antoni
Mercat del Ninot,Para ir a comprar,l'Antiga Esquerra de l'Eixample
Mercat de La Concepcio,Barcelona WiFi,la Dreta de Eixample
Mercat de Santa Caterina,Patrimonio cultural,Sant Pere
Mercat de La Barceloneta,Para ir a comprar,la Barceloneta
Estacio Barcelona-Sants de RENFE,Espacios urbanos,Sants
Tramvia Blau Tibidabo-TMB,Tranvias,Sant Gervasi - la Bonanova
Funicular Tibidabo,Funiculares,Sant Gervasi - la Bonanova
Funicular Vallvidrera - FGC,Funiculares,Vallvidrera
Funicular de Montjuic-TMB,Funiculares,el Poble Sec
Edifici Talaia Barcelona,Espacios urbanos,les Corts
Casal Sant Jordi,Patrimonio cultural,la Dreta de Eixample
Palau del Baro de Quadras,Arquitectura,la Dreta de Eixample
Centre Civic Casa Golferichs,Barcelona WiFi,la Nova Esquerra de l'Eixample
Casa Amatller,Patrimonio cultural,la Dreta de Eixample
Casa Thomas,Patrimonio cultural,la Dreta de Eixample
Casa Calvet,Patrimonio cultural,la Dreta de Eixample
Torre Bellesguard  Gaudi - Casa Figueres,Patrimonio cultural,Sant Gervasi - la Bonanova
Casa Vicens,Patrimonio cultural,la Vila de Gracia
Monument Arc de Triomf de Barcelona,Patrimonio cultural,Sant Pere
Universitat de Barcelona,Universidad de Verano,l'Antiga Esquerra de l'Eixample
Palau de la Virreina,Arquitectura,el Raval
Edifici de l'Antic Hospital de la Santa Creu,Patrimonio cultural,el Raval
Monestir de Sant Pau del Camp,Patrimonio cultural,el Raval
Edifici de La Model,Espacios urbanos,la Nova Esquerra de l'Eixample
Escola Superior de Disseny i d'Art Llotja,Artes plasticas y diseño,Sant Gervasi - la Bonanova
Escola d'Aprenents SEAT,Espacios de estudio e investigacion,la Marina del Prat Vermell
Centre Educatiu Thau,Educacion secundaria obligatoria (ESO),Pedralbes
Museu d'Historia de Barcelona - Vil·la Joana,Patrimonio cultural,Vallvidrera
Parroquia de la Santissima Trinitat,Patrimonio cultural,la Trinitat Vella
Parroquia de la Mare de Deu del Coll,Patrimonio cultural,el Coll
Parc Sanitari Pere Virgili,Generalitat de Catalunya,Vallcarca i els Penitents
Parroquia de Sant Genis dels Agudells,Patrimonio cultural,Sant Genis dels Agudells
Col·legi Oficial de Metges de Barcelona,Espacios urbanos,les Tres Torres
Institut Quimic de Sarria - Campus Sarria - IQS,Universidad Ramon Llull,Sarria
Parroquia de Sant Vicenç de Sarria,Patrimonio cultural,Sarria
Centre Excursionista Els Blaus,Patrimonio cultural,Sarria
Reial Club de Tennis Barcelona - 1899,Clubs deportivos,Pedralbes
Museu Reial Monestir de Santa Maria de Pedralbes,Patrimonio cultural,Pedralbes
Parroquia de Maria Reina,Patrimonio cultural,Pedralbes
Centre Civic Sant Andreu,Barcelona WiFi,Sant Andreu
Parroquia de Sant Josep Manyanet,Patrimonio cultural,Sant Andreu
Parroquia de Sant Pacia,Patrimonio cultural,Sant Andreu
Centre Civic Torre Llobeta,Patrimonio cultural,Vilapicina i la Torre Llobeta
Parroquia de l'Immaculat Cor de Maria,Locales musicales ocasionales,el Camp d'en Grassot i Gracia Nova
Centre Civic La Sedeta,Barcelona WiFi,el Camp d'en Grassot i Gracia Nova
Palau Macaya,Palacios,la Dreta de Eixample
Parroquia de Santa Maria de Gracia,Patrimonio cultural,la Vila de Gracia
Museu del Perfum - Fundacio Planas Giralt,Museos,la Dreta de Eixample
Institut Français de Barcelone,Idiomas,Sant Gervasi - Galvany
Hospital Clinic i Provincial,Centros de salud mental infantiles y juveniles,l'Antiga Esquerra de l'Eixample
Fundacio Universitaria Agusti Pedro Pons,Patrimonio cultural,Sarria
Casal de Barri Font d'en Fargues,Barcelona WiFi,la Font d'en Fargues
Centre Civic Guinardo,Barcelona WiFi,el Guinardo
Hospital de la Santa Creu i Sant Pau,Hospitales y clinicas,el Guinardo
Club Natacio Catalunya,Clubs deportivos,la Salut
Club Tennis La Salut,Natacion,la Salut
Casa Museu Gaudi,Museos,la Salut
Parroquia de Sant Joan de Gracia,Patrimonio cultural,la Vila de Gracia
Fundacio Orfeo Gracienc,Fundaciones culturales y cientificas,la Vila de Gracia
Parroquia de la Verge de Gracia i Sant Josep,Patrimonio cultural,Vallcarca i els Penitents
Centre Moral i Instructiu de Gracia,Patrimonio cultural,la Vila de Gracia
Parroquia de Santa Teresa de l'Infant Jesus,Patrimonio cultural,la Vila de Gracia
Bosque Multicines,Patrimonio cultural,la Vila de Gracia
Centre Civic Casinet d'Hostafrancs,Ocio y tiempo libre,Hostafrancs
Centre Civic Cotxeres de Sants,Barcelona WiFi,Sants
Parroquia de Sant Medir,Patrimonio cultural,la Bordeta
Parroquia de Maria Auxiliadora,Patrimonio cultural,les Tres Torres
Centre Civic Sarria,Barcelona WiFi,Sarria
Biblioteca Montserrat Abello,Patrimonio cultural,les Corts
Parroquia de Sant Ramon Nonat,Patrimonio cultural,la Maternitat i Sant Ramon
Club Natacio Barcelona,Natacion,la Barceloneta
Parroquia de Sant Pere de les Puel·les,Patrimonio cultural,Sant Pere
Col·legi d'Arquitectes de Catalunya,Patrimonio cultural,el Barri Gotic
Parroquia de la Mare de Deu de la Merce i Sant Miquel Arcangel - Basilica,Patrimonio cultural,el Barri Gotic
Ateneu Barcelones,Ateneos,el Barri Gotic
Parroquia de Santa Maria del Pi - Basilica,Patrimonio cultural,el Barri Gotic
Museu Maritim de Barcelona,Museos,el Raval
Parroquia de la Mare de Deu de Lourdes,Patrimonio cultural,el Poble Sec
Museu d'Arqueologia de Catalunya,Museos,el Poble Sec
Espai Contrabandos,Cultura y arte,el Raval
Bau -  Escola Superior de Disseny,Artes plasticas y diseño,el Poblenou
Farmacia Reixach-Soler,Patrimonio cultural,Sant Andreu
Fabrica de Creacio Escenari Joan  Brossa,Patrimonio cultural,Sant Pere
Associacio Catalana per la Integracio i el Desenvolupament Huma,Otras asociaciones deportivas,la Vila de Gracia
Restaurant Casa Trampa,Ocio y tiempo libre,Vallvidrera
Sant Andreu Teatre,Teatros,Sant Andreu
Restaurant Bonanova,Cocina clasica,Sant Gervasi - la Bonanova
Farmacia Clapes Viñas,Patrimonio cultural,Sant Andreu
Teatre Coliseum,Teatros,la Dreta de Eixample
Restaurant Casa Tejada,Ocio y tiempo libre,Sant Gervasi - Galvany
Pastisseria Escriba *La Rambla,Patrimonio cultural,el Raval
Centre Educatiu Monlau,Formacion profesional grado medio,la Sagrera
Bodega J. Murria,Para ir a comprar,la Dreta de Eixample
Pavellons d'Entrada de l'Antiga Finca Guell,Patrimonio cultural,Pedralbes
Jardins del Mirador de l'Alcalde,Parques y jardines,el Poble Sec
OikoCredit Catalunya,Para ir a comprar,el Raval
Fundacio Privada Desenvolupament Comunitari,Patrimonio cultural,la Verneda i la Pau
Pont de Calatrava (Bac de Roda - Felip II),Espacios urbanos,la Sagrera
Associacio Sant Marti Eix Comercial,Para ir a comprar,Sant Marti de Provençals
Hort Urba Masia Can Soler,Patrimonio cultural,Sant Genis dels Agudells
Biblioteca Barceloneta -  La Fraternitat,Patrimonio cultural,la Barceloneta
Escola Superior de Musica de Catalunya,Musica,el Fort Pienc
Associacio Sants Establiments Units,Para ir a comprar,Sants
Casa Muntadas,Patrimonio cultural,Sant Gervasi - la Bonanova
Casa Muley-Afid,Patrimonio cultural,les Tres Torres
Casa Serra,Patrimonio cultural,la Dreta de Eixample
Casa Company,Patrimonio cultural,l'Antiga Esquerra de l'Eixample
Universitat Internacional de Catalunya,Universidad de Verano,Sant Gervasi - la Bonanova
Casa Comalat,Patrimonio cultural,la Dreta de Eixample
Gremi Provincial de Pastisseria de Barcelona,Museos,Sant Pere
Biblioteca Vapor Vell,Musica,Sants
Parc de La Maquinista de Sant Andreu,Parques y jardines,Baro de Viver
Centre Civic Pere Pruna,Ocio y tiempo libre,Sant Gervasi - la Bonanova
Palau de Congressos de Catalunya,Para hacer negocios,la Maternitat i Sant Ramon
Associacio Eix Comercial de Maragall,Para ir a comprar,el Camp de l'Arpa del Clot
Fundacio Joan Brossa,Museos,Sant Pere
